,name,stars,rating,reviews_count,has_free_wifi,gallery_images_count,address,start_year,good_district
207,Апартаменты около Пушкинской площади,,9.5,18,True,46,"Богословский перулок д.1, кв 27, Пресненский, Москва, Россия",2016,True
208,Home stay on Bolshaya Dmitrovka 21,,,,True,49,"21 ulitsa Bolshaya Dmitrovka 3, Тверской, Москва, Россия",2017,True
209,Апартаменты на Большой Очаковской,,9.4,19,True,26,"Большая Очаковская 3, Москва, Россия",2017,False
210,Апартаменты на Большой Тульской ,,9.1,28,True,20,"Улица Большая Тульская, 2, Даниловский, Москва, Россия",2016,False
211,Апартаменты на Братиславской 18,,,,True,22,"Улица Братиславская, 18, 1, Москва, Россия",2016,False
212,Star 2 apartment on Kievskaya,,9.0,59,True,29,"Большая Дорогомиловская, дом 8 кв 118, Дорогомилово, Москва, Россия",2016,True
213,Apartment on Dvintsev 14/13,,,,True,32,"Dvintsiev vl.14str.13, Марьина роща, Москва, Россия",2017,False
214,Apartment on Elninskay 18,,,,True,25,"Ulitsa Elninskaya 18, Bldg 1, Москва, Россия",2017,False
215,Apartment on Elninskaya 15,,,,True,27,"15 Elninskaya ulitsa,  kvartira 86, Москва, Россия",2016,False
216,Apartment on Fridriha Engelsa 7\21,,,,True,24,"Ulitsa Fridriha Engelsa, 7\21, Басманный, Москва, Россия",2016,False
217,Apartment on Kurina 20,,,,True,34,"ulitsa Gerasima Kurina 20, Москва, Россия",2016,False
218,Apartment on Golyanovskaya,,,,True,15,"1B Golyanovskaya ulitsa kv 73 etazh 10, Басманный, Москва, Россия",2017,False
